scorer,,,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra,tot_ra
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,,,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right,head,head,thorax,thorax,abdomen,abdomen,antenna-left,antenna-left,antenna-right,antenna-right,fore-leg-left,fore-leg-left,fore-leg-right,fore-leg-right,mid-leg-left,mid-leg-left,mid-leg-right,mid-leg-right,hind-leg-left,hind-leg-left,hind-leg-right,hind-leg-right,wing-left,wing-left,wing-right,wing-right
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1757487536,img015.png,1183.1380787965018,95.82928967070858,1182.2409088267725,115.26797234817683,1178.0541156347024,168.20100056220573,1168.7833592808329,72.80192711432312,1204.0720447568524,82.67079678134546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img037.png,1068.2320702808456,6.65139645832906,1072.3573534186162,20.902374570627103,1079.4828424747652,67.40556630549436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img038.png,931.6075655288521,15.169189174254797,941.3582347635823,33.17042468452598,962.7347019320293,79.29859067959595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img047.png,256.28128696714947,267.6866698029727,251.19573768077666,286.1795762988738,238.25070313364589,335.64810117540935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img051.png,635.1117074065019,194.50631295451214,631.1633830281896,209.80606992047208,620.79903153512,259.9004354703086,620.0587207141864,197.22078596460182,661.0225861391759,186.85643447153217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img058.png,427.9853042824987,157.63604526967993,434.0695529793903,168.58769292408482,460.84024724571344,211.7858586720153,398.4766981025744,151.24758413794376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img079.png,561.2898362425824,179.7008655993186,557.164553104812,195.07692093100857,551.9141927476495,246.45544728324094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img081.png,625.2853852001804,140.53371502072113,624.8918213143029,155.48914268406128,625.482167143119,208.8170492204453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img091.png,885.645167136786,110.1565836254385,876.2695236418531,127.78279339591238,862.7685970091496,181.41147418692861,,,,,,,,,,,,,,,,,,,,,1146.6630820357184,11.149788318946918,1133.9122068826096,23.52563773225836,1100.5349160406483,41.52687324252956,1151.163390913286,0.6490676046220472,1166.9144719847734,4.774350742392528,1133.5371811428122,-0.10098387497258443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img093.png,900.5305278953581,3.9151930977070606,898.6871787172854,22.348684878433488,896.1064898679838,76.5431507137692,1173.3462062501094,24.192034056506145,1157.8620731542992,35.62079896055653,1110.3036643600249,54.791630412512006,1162.3067156963016,3.5702162317053414,1150.264678404941,3.1817634158549986,,,1116.2103148820609,5.253511767056832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,1757487536,img099.png,937.1679932770767,27.58919799776109,941.3288972386545,47.00674981845728,967.218966332916,99.71153333177548,910.3532788580201,14.181840788232762,942.2535425634495,7.247000852269849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
